strategy_id,strategy_name,mutator_id,loss_score,target_score,output_score
0,CROSS_DUPLEX,0,238840.171875,0.010373314842581749,0.04281429946422577
0,CROSS_DUPLEX,1,225994.578125,0.012653972953557968,0.04281429946422577
0,CROSS_DUPLEX,2,171595.0625,0.02935865893959999,0.04281429946422577
0,CROSS_DUPLEX,3,238840.171875,0.010373314842581749,0.04281429946422577
0,CROSS_DUPLEX,4,238840.171875,0.010373314842581749,0.04281429946422577
1,OPEN_CORRIDOR,0,75329.5234375,0.1301794946193695,0.07101456075906754
1,OPEN_CORRIDOR,1,233290.328125,0.011303341016173363,0.04281429946422577
1,OPEN_CORRIDOR,2,110507.1015625,0.0755414068698883,0.07052026689052582
1,OPEN_CORRIDOR,3,166250.625,0.03188932687044144,0.07076887786388397
2,PIECE_OF_CAKE,0,68805.296875,0.14400538802146912,0.09749461710453033
2,PIECE_OF_CAKE,1,101776.1328125,0.08646659553050995,0.09657558053731918
2,PIECE_OF_CAKE,2,66977.2890625,0.14813613891601562,0.09598027914762497
2,PIECE_OF_CAKE,3,64636.94921875,0.15359808504581451,0.09627112746238708
2,PIECE_OF_CAKE,4,69226.46875,0.14307010173797607,0.10167447477579117
3,OPEN,0,326381.125,0.002677511889487505,0.04281429946422577
